CODE,LOC_OUTLET_NAME,OUTLET_NAME,LOB_SEGMENT,LOB
6272719,Attractions 1,Attractions,Attractions,Attractions
6272705,Cabana,Cabana,Cabana,Food and Beverage
6272713,Banquets,Banquets,Banquets,Food and Beverage
6272723,Arcade,Arcade,Arcade,Attractions
6272723,Arcade,Arcade,Arcade,Attractions
6272713,Banquets,Banquets,Banquets,Food and Beverage
6272705,Cabana,Cabana,Cabana,Food and Beverage
6272721,Attractions 2,Attractions,Attractions,Attractions
6272719,Attractions 1,Attractions,Attractions,Attractions
6272705,Cabana,Cabana,Cabana,Food and Beverage
6272723,Arcade,Arcade,Arcade,Attractions
6272713,Banquets,Banquets,Banquets,Food and Beverage
6272713,Banquets,Banquets,Banquets,Food and Beverage
6272705,Cabana,Cabana,Cabana,Food and Beverage
6272723,Arcade,Arcade,Arcade,Attractions
6272705,Cabana,Cabana,Cabana,Food and Beverage
